date,temp_c,temp_f,max_temp_f,min_temp_f,humidity,rain_mm,rain_in
2024-11-14,6.7,44.0,45.9,41.9,85,21.52,0.85
2024-11-15,11.8,53.3,59.7,47.7,80,14.94,0.59
2024-11-16,12.4,54.3,61.0,51.4,67,0.0,0.0
2024-11-17,10.7,51.2,59.1,41.7,71,0.0,0.0
2024-11-18,12.6,54.7,66.3,44.9,74,0.0,0.0
2024-11-19,14.8,58.7,68.2,50.5,68,0.14,0.01
2024-11-20,16.1,60.9,64.5,52.5,85,49.34,1.94
2024-11-21,7.8,46.0,49.0,42.0,48,0.0,0.0
2024-11-22,5.9,42.7,51.3,35.5,52,0.0,0.0
2024-11-23,8.6,47.5,56.4,41.5,64,0.0,0.0
2024-11-24,9.7,49.4,61.2,38.0,65,0.0,0.0
2024-11-25,10.5,50.9,61.1,40.0,73,0.0,0.0
2024-11-26,13.8,56.9,64.5,51.5,68,0.0,0.0
2024-11-27,9.0,48.2,55.3,38.3,59,0.0,0.0
2024-11-28,12.6,54.6,59.4,50.0,85,10.27,0.4
2024-11-29,6.0,42.7,49.9,36.4,59,0.0,0.0
2024-11-30,3.0,37.4,42.1,32.3,42,0.0,0.0
2024-12-01,5.5,41.9,47.9,36.8,38,0.0,0.0
2024-12-02,2.5,36.4,40.7,32.2,44,0.0,0.0
2024-12-03,1.6,34.9,41.6,29.2,43,0.0,0.0
2024-12-04,2.1,35.8,45.4,28.0,47,0.0,0.0
2024-12-05,1.8,35.3,38.2,27.8,51,0.0,0.0
2024-12-06,-0.9,30.4,36.9,25.7,43,0.0,0.0
2024-12-07,1.8,35.3,45.8,27.0,36,0.0,0.0
2024-12-08,7.7,45.9,58.6,35.7,53,0.0,0.0
2024-12-09,10.3,50.6,54.8,45.2,76,14.19,0.56
2024-12-10,12.2,54.0,60.6,48.5,96,11.56,0.46
2024-12-11,8.1,46.6,58.5,36.4,86,61.89,2.44
2024-12-12,4.1,39.5,46.5,34.9,51,0.0,0.0
2024-12-13,4.9,40.8,47.1,34.4,44,0.0,0.0
2024-12-14,3.8,38.8,42.1,35.5,58,0.0,0.0
2024-12-15,2.5,36.4,38.4,34.5,75,0.0,0.0
2024-12-16,6.8,44.2,50.0,39.4,89,0.0,0.0
2024-12-17,11.2,52.2,53.8,50.8,97,0.0,0.0
2024-12-18,11.0,51.9,57.4,47.3,96,0.0,0.0
2024-12-19,9.0,48.1,60.3,42.5,70,5.02,0.2
2024-12-20,5.3,41.6,45.0,38.0,70,0.0,0.0
2024-12-21,4.3,39.7,44.3,33.9,57,0.0,0.0
2024-12-22,-0.0,31.9,36.4,28.1,43,0.0,0.0
2024-12-23,0.1,32.2,38.0,27.8,39,0.0,0.0
2024-12-24,3.4,38.2,46.8,29.6,53,0.0,0.0
2024-12-25,3.7,38.7,39.5,37.5,77,0.0,0.0
2024-12-26,3.7,38.6,41.2,35.8,78,0.0,0.0
2024-12-27,4.3,39.7,42.0,36.9,73,0.0,0.0
2024-12-28,4.0,39.2,43.0,36.1,97,5.79,0.23
2024-12-29,13.4,56.2,62.0,46.0,94,63.36,2.49
2024-12-30,14.6,58.3,61.5,54.2,73,0.0,0.0
2024-12-31,8.8,47.9,49.3,46.1,90,0.0,0.0
2025-01-01,7.5,45.4,50.6,38.4,60,0.0,0.0
2025-01-02,3.4,38.1,45.6,32.5,51,0.0,0.0
2025-01-03,3.7,38.6,44.1,34.5,50,0.0,0.0
2025-01-04,0.1,32.2,39.7,26.4,38,0.0,0.0
2025-01-05,1.2,34.2,40.9,30.3,33,0.0,0.0
2025-01-06,1.0,33.8,38.5,31.5,93,54.86,2.16
2025-01-07,-1.6,29.1,34.5,24.9,67,0.0,0.0
2025-01-08,-2.3,27.9,34.3,23.8,61,0.0,0.0
2025-01-09,-1.4,29.5,37.2,24.1,45,0.0,0.0
2025-01-10,-1.9,28.6,33.7,25.1,58,3.02,0.12
2025-01-11,1.7,35.0,43.6,29.3,72,26.28,1.03
2025-01-12,0.3,32.6,41.0,25.9,60,0.0,0.0
2025-01-13,4.1,39.4,49.2,31.6,58,0.0,0.0
2025-01-14,1.0,33.8,41.4,28.0,53,0.0,0.0
2025-01-15,-1.1,30.0,36.7,23.1,46,0.0,0.0
